Start date:,01/14/2025,Start time:,16:38:40.280
Reading #,Reading
1,+1.85745470E+00
2,+1.85764325E+00
3,+1.85744948E+00
4,+1.85778043E+00
5,+1.85766829E+00
6,+1.85794917E+00
7,+1.85716469E+00
8,+1.85769072E+00
9,+1.85752198E+00
10,+1.85766699E+00
11,+1.85797421E+00
12,+1.85800185E+00
13,+1.85780677E+00
14,+1.85764325E+00
15,+1.85755224E+00
16,+1.85773688E+00
17,+1.85811400E+00
18,+1.85792413E+00
19,+1.85773166E+00
20,+1.85766438E+00
21,+1.85759709E+00
22,+1.85774079E+00
23,+1.85804541E+00
24,+1.85802298E+00
25,+1.85787797E+00
26,+1.85778304E+00
27,+1.85765786E+00
28,+1.85766960E+00
29,+1.85757597E+00
30,+1.85764456E+00
31,+1.85759057E+00
32,+1.85790431E+00
33,+1.85816016E+00
34,+1.85764586E+00
35,+1.85761952E+00
36,+1.85785685E+00
37,+1.85768420E+00
38,+1.85780417E+00
39,+1.85821023E+00
40,+1.85814034E+00
41,+1.85799664E+00
42,+1.85785685E+00
43,+1.85769463E+00
44,+1.85790562E+00
45,+1.85826291E+00
46,+1.85816277E+00
47,+1.85802298E+00
48,+1.85785424E+00
49,+1.85759579E+00
50,+1.85759709E+00
51,+1.85779217E+00
52,+1.85823396E+00
53,+1.85816537E+00
54,+1.85799533E+00
55,+1.85814425E+00
56,+1.85818650E+00
57,+1.85809157E+00
58,+1.85792544E+00
59,+1.85783312E+00
60,+1.85783572E+00
61,+1.85801776E+00
62,+1.85835393E+00
63,+1.85816407E+00
64,+1.85804671E+00
65,+1.85790823E+00
66,+1.85790692E+00
67,+1.85823005E+00
68,+1.85838419E+00
69,+1.85819302E+00
70,+1.85809548E+00
71,+1.85790301E+00
72,+1.85787406E+00
73,+1.85778826E+00
74,+1.85790562E+00
75,+1.85781199E+00
76,+1.85819172E+00
77,+1.85804280E+00
78,+1.85797551E+00
79,+1.85795048E+00
80,+1.85823005E+00
81,+1.85845408E+00
82,+1.85830647E+00
83,+1.85814164E+00
84,+1.85802689E+00
85,+1.85792544E+00
86,+1.85831038E+00
87,+1.85848042E+00
88,+1.85831038E+00
89,+1.85813903E+00
90,+1.85811791E+00
91,+1.85795048E+00
92,+1.85804149E+00
93,+1.85764456E+00
94,+1.85804802E+00
95,+1.85845278E+00
96,+1.85835524E+00
97,+1.85819041E+00
98,+1.85809287E+00
