Start date:,01/14/2025,Start time:,16:46:06.690
Reading #,Reading
1,+3.18155886E-01
2,+3.18153251E-01
3,+3.18143889E-01
4,+3.18146393E-01
5,+3.18141255E-01
6,+3.18138621E-01
7,+3.18134266E-01
8,+3.18138882E-01
9,+3.18131762E-01
10,+3.18126755E-01
11,+3.18129389E-01
12,+3.18127407E-01
13,+3.18122661E-01
14,+3.18125034E-01
15,+3.18127668E-01
16,+3.18134005E-01
17,+3.18127277E-01
18,+3.18129650E-01
19,+3.18122400E-01
20,+3.18117654E-01
21,+3.18127407E-01
22,+3.18117915E-01
23,+3.18114889E-01
24,+3.18112516E-01
25,+3.18115542E-01
26,+3.18112907E-01
27,+3.18108031E-01
28,+3.18101302E-01
29,+3.18096295E-01
30,+3.18101433E-01
31,+3.18103545E-01
32,+3.18096295E-01
33,+3.18096426E-01
34,+3.18094574E-01
35,+3.18089437E-01
36,+3.18092201E-01
37,+3.18086281E-01
38,+3.18081665E-01
39,+3.18096556E-01
40,+3.18095643E-01
41,+3.18091418E-01
42,+3.18084821E-01
43,+3.18082317E-01
44,+3.18077571E-01
45,+3.18086803E-01
46,+3.18077571E-01
47,+3.18079683E-01
48,+3.18084299E-01
49,+3.18072563E-01
50,+3.18075328E-01
51,+3.18067948E-01
52,+3.18073346E-01
53,+3.18063593E-01
54,+3.18065835E-01
55,+3.18067556E-01
56,+3.18060958E-01
57,+3.18058324E-01
58,+3.18055690E-01
59,+3.18061089E-01
60,+3.18051335E-01
61,+3.18053448E-01
62,+3.18051335E-01
63,+3.18052926E-01
64,+3.18051466E-01
65,+3.18051205E-01
66,+3.18051335E-01
67,+3.18049093E-01
68,+3.18039209E-01
69,+3.18038817E-01
70,+3.18042104E-01
71,+3.18044216E-01
72,+3.18043825E-01
73,+3.18036575E-01
74,+3.18037357E-01
75,+3.18027864E-01
76,+3.18039861E-01
77,+3.18027212E-01
78,+3.18022466E-01
79,+3.18022988E-01
80,+3.18022466E-01
81,+3.18020484E-01
82,+3.18018241E-01
83,+3.18015477E-01
84,+3.18015216E-01
85,+3.18018111E-01
86,+3.18011252E-01
87,+3.18010991E-01
88,+3.18020093E-01
89,+3.18016129E-01
90,+3.18008618E-01
91,+3.18012973E-01
92,+3.18004002E-01
93,+3.18004002E-01
94,+3.18008879E-01
95,+3.18013234E-01
96,+3.18003611E-01
97,+3.17998734E-01
98,+3.17998995E-01
99,+3.17998734E-01
100,+3.17989372E-01
101,+3.17994379E-01
102,+3.17987520E-01
103,+3.17987390E-01
104,+3.17984365E-01
105,+3.17985278E-01
106,+3.17977506E-01
107,+3.17970647E-01
108,+3.17972499E-01
109,+3.17972890E-01
110,+3.17977636E-01
111,+3.17980010E-01
112,+3.17980010E-01
113,+3.17977506E-01
114,+3.17975394E-01
115,+3.17970908E-01
116,+3.17968144E-01
117,+3.17963658E-01
118,+3.17965771E-01
119,+3.17968405E-01
120,+3.17966423E-01
121,+3.17956017E-01
122,+3.17953383E-01
123,+3.17960633E-01
124,+3.17956669E-01
125,+3.17949419E-01
126,+3.17951923E-01
127,+3.17946394E-01
128,+3.17947307E-01
129,+3.17946394E-01
130,+3.17936771E-01
131,+3.17937684E-01
132,+3.17944673E-01
133,+3.17940057E-01
134,+3.17939144E-01
135,+3.17946394E-01
136,+3.17942300E-01
137,+3.17937292E-01
138,+3.17934919E-01
139,+3.17935180E-01
140,+3.17932677E-01
141,+3.17932285E-01
142,+3.17933068E-01
143,+3.17932807E-01
144,+3.17932677E-01
145,+3.17925166E-01
146,+3.17918698E-01
147,+3.17913430E-01
148,+3.17913430E-01
149,+3.17918698E-01
150,+3.17918437E-01
151,+3.17901564E-01
152,+3.17908945E-01
153,+3.17903546E-01
154,+3.17901695E-01
155,+3.17898800E-01
156,+3.17910535E-01
157,+3.17901564E-01
158,+3.17904198E-01
159,+3.17906441E-01
160,+3.17904329E-01
161,+3.17897209E-01
162,+3.17896948E-01
163,+3.17894184E-01
164,+3.17891941E-01
165,+3.17896818E-01
166,+3.17897209E-01
167,+3.17894967E-01
168,+3.17889959E-01
169,+3.17882449E-01
170,+3.17877963E-01
171,+3.17880206E-01
172,+3.17872956E-01
173,+3.17880075E-01
174,+3.17872956E-01
175,+3.17878224E-01
176,+3.17873217E-01
177,+3.17867688E-01
178,+3.17866097E-01
179,+3.17863985E-01
180,+3.17861220E-01
181,+3.17864115E-01
182,+3.17858717E-01
183,+3.17851989E-01
184,+3.17863724E-01
185,+3.17865967E-01
186,+3.17868992E-01
187,+3.17854362E-01
188,+3.17856344E-01
189,+3.17861351E-01
190,+3.17862003E-01
191,+3.17851728E-01
192,+3.17844478E-01
193,+3.17839601E-01
194,+3.17837619E-01
195,+3.17833134E-01
196,+3.17837880E-01
197,+3.17837358E-01
198,+3.17837228E-01
199,+3.17835115E-01
200,+3.17835376E-01
201,+3.17833003E-01
202,+3.17828648E-01
203,+3.17829978E-01
204,+3.17828257E-01
205,+3.17825492E-01
206,+3.17827605E-01
207,+3.17827996E-01
208,+3.17826014E-01
209,+3.17825884E-01
210,+3.17825623E-01
211,+3.17816521E-01
212,+3.17815478E-01
213,+3.17820876E-01
214,+3.17823380E-01
215,+3.17813496E-01
216,+3.17816521E-01
217,+3.17811123E-01
218,+3.17809402E-01
219,+3.17799387E-01
220,+3.17797145E-01
221,+3.17797275E-01
222,+3.17801891E-01
223,+3.17801891E-01
224,+3.17794641E-01
225,+3.17792398E-01
226,+3.17787652E-01
227,+3.17795163E-01
228,+3.17790286E-01
229,+3.17795032E-01
230,+3.17789634E-01
231,+3.17790025E-01
232,+3.17792137E-01
233,+3.17789895E-01
234,+3.17778029E-01
235,+3.17773152E-01
236,+3.17775264E-01
237,+3.17780793E-01
238,+3.17785801E-01
239,+3.17775916E-01
240,+3.17768927E-01
241,+3.17766685E-01
242,+3.17763659E-01
243,+3.17771170E-01
244,+3.17766032E-01
245,+3.17757062E-01
246,+3.17764181E-01
247,+3.17761938E-01
248,+3.17757192E-01
249,+3.17752315E-01
250,+3.17745065E-01
251,+3.17752446E-01
252,+3.17754297E-01
253,+3.17759174E-01
254,+3.17749290E-01
255,+3.17754297E-01
256,+3.17747438E-01
257,+3.17751663E-01
258,+3.17744543E-01
259,+3.17745196E-01
260,+3.17751793E-01
261,+3.17749290E-01
262,+3.17737946E-01
263,+3.17744283E-01
264,+3.17727931E-01
265,+3.17730696E-01
266,+3.17730826E-01
267,+3.17733330E-01
268,+3.17728323E-01
269,+3.17719091E-01
270,+3.17715804E-01
271,+3.17720681E-01
272,+3.17711971E-01
273,+3.17712102E-01
274,+3.17716457E-01
275,+3.17721333E-01
276,+3.17725949E-01
277,+3.17714605E-01
278,+3.17718960E-01
279,+3.17716457E-01
280,+3.17711971E-01
281,+3.17709468E-01
282,+3.17716587E-01
283,+3.17706964E-01
284,+3.17709207E-01
285,+3.17709207E-01
286,+3.17711841E-01
287,+3.17697210E-01
288,+3.17684953E-01
289,+3.17700236E-01
290,+3.17692594E-01
291,+3.17697080E-01
292,+3.17690613E-01
293,+3.17685605E-01
294,+3.17690352E-01
295,+3.17680598E-01
296,+3.17678877E-01
297,+3.17681381E-01
298,+3.17675982E-01
299,+3.17685736E-01
300,+3.17678225E-01
301,+3.17681250E-01
302,+3.17680859E-01
303,+3.17676243E-01
304,+3.17678747E-01
305,+3.17673870E-01
306,+3.17666359E-01
307,+3.17671105E-01
308,+3.17673479E-01
309,+3.17668732E-01
310,+3.17662265E-01
311,+3.17664769E-01
312,+3.17661743E-01
313,+3.17656736E-01
314,+3.17654363E-01
315,+3.17651990E-01
316,+3.17649747E-01
317,+3.17650008E-01
318,+3.17645261E-01
319,+3.17645261E-01
320,+3.17637751E-01
321,+3.17642497E-01
322,+3.17642758E-01
323,+3.17649877E-01
324,+3.17642627E-01
325,+3.17647374E-01
326,+3.17640124E-01
327,+3.17633004E-01
328,+3.17640254E-01
329,+3.17633396E-01
330,+3.17628258E-01
331,+3.17641167E-01
332,+3.17635769E-01
333,+3.17633396E-01
334,+3.17626146E-01
335,+3.17624555E-01
336,+3.17623772E-01
337,+3.17611906E-01
338,+3.17618765E-01
339,+3.17621399E-01
340,+3.17615062E-01
341,+3.17612167E-01
342,+3.17612428E-01
343,+3.17602805E-01
344,+3.17607291E-01
345,+3.17612037E-01
346,+3.17607030E-01
347,+3.17602544E-01
348,+3.17607421E-01
349,+3.17605309E-01
350,+3.17605048E-01
351,+3.17607030E-01
352,+3.17600041E-01
353,+3.17599910E-01
